,cell_ids,label,label2,leiden
106,1772062113_F08,interneurons,Int1,18
107,1772066108_B02,interneurons,Int2,22
108,1772066102_G06,interneurons,Int2,18
109,1772067059_E03,interneurons,Int2,18
110,1772071035_G04,interneurons,Int2,18
111,1772066102_C06,interneurons,Int2,18
112,1772067057_H02,interneurons,Int2,18
113,1772062115_G05,interneurons,Int2,18
114,1772066097_G03,interneurons,Int4,18
115,1772063064_G08,interneurons,Int4,18
116,1772067082_B01,interneurons,Int4,18
117,1772066099_C04,interneurons,Int4,18
118,1772071040_A12,interneurons,Int2,18
119,1772063078_F01,interneurons,Int2,18
120,1772067082_F03,interneurons,Int2,18
121,1772071044_A03,interneurons,Int2,18
122,1772067060_B04,interneurons,Int2,18
123,1772071045_C11,interneurons,Int2,18
124,1772067083_B10,interneurons,Int2,18
125,1772066077_E08,interneurons,Int2,18
126,1772063078_F12,interneurons,Int2,1
127,1772062115_C05,interneurons,Int1,18
128,1772066099_C11,interneurons,Int3,18
129,1772063064_G03,interneurons,Int9,18
130,1772071036_E09,interneurons,Int13,13
131,1772062128_D11,interneurons,Int3,18
132,1772067058_A12,interneurons,Int3,18
133,1772063078_B02,interneurons,Int14,13
134,1772066108_E06,interneurons,Int13,13
135,1772066100_A12,interneurons,Int13,13
136,1772066073_B03,interneurons,Int13,13
137,1772067076_A06,interneurons,Int13,13
138,1772062111_G03,interneurons,Int14,13
139,1772063061_H03,interneurons,Int15,13
140,1772066097_H05,interneurons,Int13,18
141,1772067065_A02,interneurons,Int10,10
142,1772066077_H12,interneurons,Int15,4
143,1772062128_G04,interneurons,Int14,13
144,1772062109_H03,interneurons,Int15,13
145,1772063063_F01,interneurons,Int7,18
146,1772062128_B10,interneurons,Int6,10
147,1772063061_B03,interneurons,Int8,10
148,1772063061_B05,interneurons,Int5,10
149,1772058177_G09,interneurons,Int6,10
150,1772066095_D02,interneurons,Int8,10
151,1772066097_G12,interneurons,Int8,10
152,1772066097_G02,interneurons,Int5,10
153,1772066100_G07,interneurons,Int8,10
154,1772066097_H01,interneurons,Int5,10
155,1772071045_H03,interneurons,Int8,10
156,1772067083_F08,interneurons,Int5,10
157,1772067083_H01,interneurons,Int5,10
158,1772066101_F04,interneurons,Int5,10
159,1772067058_H12,interneurons,Int5,10
160,1772067082_F02,interneurons,Int5,10
161,1772067058_H05,interneurons,Int5,10
162,1772071035_B09,interneurons,Int5,10
163,1772071015_H07,interneurons,Int5,10
164,1772071036_C02,interneurons,Int5,10
165,1772066108_F04,interneurons,Int5,10
166,1772071035_H02,interneurons,Int5,10
167,1772062109_H07,interneurons,Int8,10
168,1772067076_E03,interneurons,Int6,10
169,1772067059_G10,interneurons,Int5,10
170,1772067076_D04,interneurons,Int8,10
171,1772066099_H06,interneurons,Int8,10
172,1772066102_G12,interneurons,Int8,10
173,1772071035_E07,interneurons,Int7,10
174,1772066073_B02,interneurons,Int8,10
175,1772067076_A03,interneurons,Int8,10
176,1772066102_B11,interneurons,Int8,10
177,1772066089_A01,interneurons,Int8,10
178,1772066099_A01,interneurons,Int8,10
179,1772067057_H04,interneurons,Int8,10
180,1772066102_C11,interneurons,Int7,10
181,1772071045_A10,interneurons,Int7,10
182,1772066096_G01,interneurons,Int8,10
183,1772066102_H10,interneurons,Int8,10
184,1772066099_C12,interneurons,Int8,10
185,1772071044_H10,interneurons,Int7,10
186,1772067083_D10,interneurons,Int7,10
187,1772066099_E04,interneurons,Int7,10
188,1772066100_D08,interneurons,Int7,10
189,1772066099_H02,interneurons,Int5,10
190,1772066089_H04,interneurons,Int3,10
191,1772066089_B06,interneurons,Int8,10
192,1772066102_G08,interneurons,Int8,10
193,1772066102_A04,interneurons,Int4,4
194,1772066097_B06,interneurons,Int8,4
195,1772067076_E04,interneurons,Int8,10
196,1772066097_C06,interneurons,Int8,4
197,1772067057_D12,interneurons,Int6,10
198,1772066100_A05,interneurons,Int7,10
199,1772066101_F03,interneurons,Int4,10
200,1772071014_A06,interneurons,Int10,10
201,1772071015_A11,interneurons,Int10,10
202,1772071015_C09,interneurons,Int10,10
203,1772063071_A06,interneurons,Int10,10
204,1772058148_F09,interneurons,Int10,10
205,1772067066_H09,interneurons,Int10,10
206,1772067065_G10,interneurons,Int10,10
207,1772071015_A05,interneurons,Int10,10
208,1772067065_B10,interneurons,Int10,10
209,1772067065_A01,interneurons,Int10,10
210,1772062128_F10,interneurons,Int7,10
211,1772071017_H06,interneurons,Int10,10
212,1772071014_A12,interneurons,Int6,10
213,1772067065_F08,interneurons,Int6,10
214,1772058148_H04,interneurons,Int6,10
215,1772066102_B06,interneurons,Int6,10
216,1772063077_H05,interneurons,Int8,10
217,1772067076_A12,interneurons,Int4,2
218,1772067065_B12,interneurons,Int15,13
219,1772067065_G11,interneurons,Int16,13
220,1772067066_A10,interneurons,Int15,13
221,1772067066_E02,interneurons,Int7,10
222,1772067066_A11,interneurons,Int16,13
223,1772067065_B09,interneurons,Int14,13
224,1772067065_F10,interneurons,Int14,13
225,1772063063_H03,interneurons,Int4,10
226,1772071017_A01,interneurons,Int15,13
227,1772067066_D04,interneurons,Int9,10
228,1772067065_G12,interneurons,Int9,10
229,1772071017_G05,interneurons,Int9,10
230,1772071017_D12,interneurons,Int9,10
231,1772071015_A01,interneurons,Int10,6
232,1772071017_H10,interneurons,Int9,10
233,1772063070_B10,interneurons,Int11,13
234,1772063065_C02,interneurons,Int15,10
235,1772071015_E10,interneurons,Int16,13
236,1772067082_B09,interneurons,Int16,13
237,1772062115_H01,interneurons,Int14,13
238,1772071041_B06,interneurons,Int15,7
239,1772066090_C05,interneurons,Int14,13
240,1772067096_F07,interneurons,Int12,13
241,1772071015_F05,interneurons,Int12,13
242,1772067083_G04,interneurons,Int16,13
243,1772062115_G06,interneurons,Int15,13
244,1772071015_G09,interneurons,Int16,13
245,1772066095_F07,interneurons,Int15,13
246,1772071017_G02,interneurons,Int15,13
247,1772062111_C11,interneurons,Int16,13
248,1772058148_H03,interneurons,Int15,13
249,1772066100_D06,interneurons,Int15,13
250,1772071017_C10,interneurons,Int15,13
251,1772071014_B10,interneurons,Int14,13
252,1772062128_G06,interneurons,Int9,13
253,1772067057_A08,interneurons,Int7,10
254,1772063068_F12,interneurons,Int11,1
255,1772063074_E11,interneurons,Int8,10
256,1772066100_D04,interneurons,Int7,10
257,1772066100_F03,interneurons,Int4,18
258,1772067093_D01,interneurons,Int4,12
259,1772066100_E01,interneurons,Int7,10
260,1772067073_C01,interneurons,Int11,13
261,1772067083_B11,interneurons,Int7,10
262,1772067054_F12,interneurons,Int4,18
263,1772058177_D04,interneurons,Int1,18
264,1772067082_H03,interneurons,Int4,18
265,1772071017_D01,interneurons,Int11,13
266,1772067094_H08,interneurons,Int2,22
267,1772067096_A01,interneurons,Int11,13
268,1772058148_H08,interneurons,Int12,13
269,1772067093_F03,interneurons,Int13,13
270,1772071015_E08,interneurons,Int15,13
271,1772067083_C02,interneurons,Int2,18
272,1772066100_H07,interneurons,Int3,18
273,1772071014_C04,interneurons,Int5,10
274,1772067096_G05,interneurons,Int4,18
275,1772071017_A08,interneurons,Int10,10
276,1772066097_G04,interneurons,Int15,13
277,1772067094_A09,interneurons,Int3,18
278,1772067082_D05,interneurons,Int13,13
279,1772067082_B03,interneurons,Int2,18
280,1772063064_B06,interneurons,Int9,18
281,1772067082_D04,interneurons,Int13,13
282,1772067065_A08,interneurons,Int16,13
283,1772066100_F08,interneurons,Int13,13
284,1772067082_C02,interneurons,Int13,13
285,1772067082_B02,interneurons,Int13,13
286,1772067093_H07,interneurons,Int3,13
287,1772071017_A06,interneurons,Int16,13
288,1772071014_F12,interneurons,Int15,13
289,1772071014_E02,interneurons,Int15,13
290,1772067069_H02,pyramidal SS,(none),7
291,1772063071_B07,pyramidal SS,S1PyrL4,7
292,1772067073_F04,pyramidal SS,ClauPyr,7
293,1772067069_A03,pyramidal SS,S1PyrL4,7
294,1772067066_E04,pyramidal SS,S1PyrL5,7
295,1772067063_C05,pyramidal SS,S1PyrL5,7
296,1772067069_C12,pyramidal SS,S1PyrL4,7
297,1772067064_C12,pyramidal SS,S1PyrL5,7
298,1772071041_F07,pyramidal SS,S1PyrL5,7
299,1772071040_B04,pyramidal SS,(none),8
300,1772067063_E09,pyramidal SS,S1PyrL4,7
301,1772067070_D04,pyramidal SS,S1PyrL4,7
302,1772067064_C07,pyramidal SS,S1PyrL5,7
303,1772067069_A11,pyramidal SS,S1PyrL23,7
304,1772067064_H09,pyramidal SS,S1PyrL5,7
305,1772071040_B01,pyramidal SS,(none),7
306,1772067064_B04,pyramidal SS,S1PyrL4,7
307,1772063063_E12,pyramidal SS,S1PyrDL,7
308,1772067069_D10,pyramidal SS,S1PyrL4,7
309,1772062109_B03,pyramidal SS,S1PyrL23,1
310,1772067064_C09,pyramidal SS,S1PyrL4,8
311,1772067064_D02,pyramidal SS,S1PyrL4,7
312,1772067069_H10,pyramidal SS,S1PyrL23,7
313,1772071017_G01,pyramidal SS,S1PyrL4,7
314,1772067063_B02,pyramidal SS,S1PyrL4,7
315,1772060240_A07,pyramidal SS,S1PyrL4,7
316,1772067073_A01,pyramidal SS,S1PyrL4,7
317,1772067064_B01,pyramidal SS,S1PyrL5,7
318,1772067074_A06,pyramidal SS,S1PyrL4,7
319,1772062116_B04,pyramidal SS,S1PyrL5a,7
320,1772071041_G09,pyramidal SS,S1PyrL5,7
321,1772067069_B02,pyramidal SS,S1PyrL23,8
322,1772067070_C01,pyramidal SS,S1PyrL23,7
323,1772067070_A03,pyramidal SS,S1PyrL23,7
324,1772071017_C06,pyramidal SS,S1PyrL23,7
325,1772067064_B05,pyramidal SS,S1PyrL23,7
326,1772067073_C12,pyramidal SS,S1PyrL23,7
327,1772067064_C02,pyramidal SS,S1PyrL23,7
328,1772067070_G11,pyramidal SS,S1PyrL23,7
329,1772067074_F07,pyramidal SS,S1PyrL23,7
330,1772067069_G06,pyramidal SS,S1PyrL23,7
331,1772067070_F07,pyramidal SS,S1PyrL23,7
332,1772071041_H11,pyramidal SS,S1PyrL23,7
333,1772067066_A06,pyramidal SS,S1PyrL23,7
334,1772071040_G08,pyramidal SS,S1PyrL23,7
335,1772067064_G02,pyramidal SS,S1PyrL23,7
336,1772071040_E01,pyramidal SS,S1PyrL23,7
337,1772067070_F03,pyramidal SS,S1PyrL23,7
338,1772067074_D05,pyramidal SS,S1PyrL23,7
339,1772067069_G03,pyramidal SS,S1PyrL23,7
340,1772067070_E11,pyramidal SS,S1PyrL23,7
341,1772071017_D11,pyramidal SS,S1PyrL23,7
342,1772071041_E12,pyramidal SS,(none),7
343,1772071041_F09,pyramidal SS,(none),8
344,1772071041_D09,pyramidal SS,S1PyrL23,7
345,1772071041_H12,pyramidal SS,S1PyrL23,7
346,1772067073_F08,pyramidal SS,S1PyrL23,7
347,1772071041_D04,pyramidal SS,(none),8
348,1772071040_F05,pyramidal SS,S1PyrDL,7
349,1772071041_E01,pyramidal SS,(none),7
350,1772071041_G07,pyramidal SS,(none),7
351,1772071041_G03,pyramidal SS,S1PyrL23,7
352,1772071041_H09,pyramidal SS,(none),7
353,1772071041_G08,pyramidal SS,(none),7
354,1772067070_G08,pyramidal SS,(none),7
355,1772067064_F02,pyramidal SS,ClauPyr,7
356,1772067064_F01,pyramidal SS,ClauPyr,7
357,1772063063_H02,pyramidal SS,(none),1
358,1772063065_C11,pyramidal SS,S1PyrL5a,1
359,1772063071_G03,pyramidal SS,S1PyrL5a,1
360,1772063068_A01,pyramidal SS,(none),1
361,1772063071_E06,pyramidal SS,S1PyrL5a,1
362,1772071041_A04,pyramidal SS,S1PyrL5,7
363,1772063068_B01,pyramidal SS,S1PyrL5a,1
364,1772063070_F03,pyramidal SS,S1PyrL4,1
365,1772063063_G11,pyramidal SS,ClauPyr,1
366,1772063062_H11,pyramidal SS,S1PyrL5a,1
367,1772063077_D06,pyramidal SS,(none),1
368,1772071041_H10,pyramidal SS,S1PyrL5a,7
369,1772063064_D02,pyramidal SS,S1PyrL5a,7
370,1772067074_C05,pyramidal SS,(none),7
371,1772067066_B03,pyramidal SS,S1PyrL4,8
372,1772063068_F11,pyramidal SS,(none),1
373,1772067070_D06,pyramidal SS,(none),7
374,1772067074_B09,pyramidal SS,S1PyrL5a,7
375,1772063077_D12,pyramidal SS,S1PyrL5a,1
376,1772067074_F03,pyramidal SS,S1PyrL4,7
377,1772071041_C05,pyramidal SS,S1PyrL5a,7
378,1772067070_G12,pyramidal SS,S1PyrL5a,7
379,1772071041_A02,pyramidal SS,S1PyrL5a,8
380,1772067074_B01,pyramidal SS,S1PyrL4,7
381,1772062115_G01,pyramidal SS,S1PyrL5a,1
382,1772067063_B12,pyramidal SS,S1PyrL4,7
383,1772067063_H04,pyramidal SS,S1PyrL5,7
384,1772067073_G09,pyramidal SS,S1PyrL4,7
385,1772067069_E04,pyramidal SS,S1PyrL5a,7
386,1772067073_C04,pyramidal SS,S1PyrL5a,8
387,1772063071_H01,pyramidal SS,(none),1
388,1772063065_A10,pyramidal SS,(none),1
389,1772063068_D04,pyramidal SS,(none),1
390,1772067069_F05,pyramidal SS,S1PyrL23,7
391,1772063068_F07,pyramidal SS,(none),1
392,1772063068_A02,pyramidal SS,S1PyrDL,1
393,1772063063_E04,pyramidal SS,S1PyrL23,1
394,1772063065_F02,pyramidal SS,(none),1
395,1772067074_F12,pyramidal SS,S1PyrL23,7
396,1772067064_A01,pyramidal SS,(none),7
397,1772063064_B11,pyramidal SS,S1PyrL23,1
398,1772062128_E10,pyramidal SS,(none),1
399,1772063065_F03,pyramidal SS,(none),1
400,1772060224_B06,pyramidal SS,(none),1
401,1772071041_H05,pyramidal SS,(none),7
402,1772062109_E06,pyramidal SS,S1PyrL23,1
403,1772071040_G09,pyramidal SS,S1PyrL23,7
404,1772071041_E10,pyramidal SS,(none),7
405,1772062128_D07,pyramidal SS,S1PyrL23,1
406,1772062128_D10,pyramidal SS,S1PyrL23,1
407,1772063078_B12,pyramidal SS,(none),1
408,1772071041_A06,pyramidal SS,(none),7
409,1772060240_F12,pyramidal SS,(none),1
410,1772063065_D04,pyramidal SS,(none),1
411,1772062116_B11,pyramidal SS,(none),1
412,1772063078_A04,pyramidal SS,(none),1
413,1772063068_D03,pyramidal SS,S1PyrDL,1
414,1772062128_D12,pyramidal SS,(none),1
415,1772063070_E01,pyramidal SS,S1PyrL23,1
416,1772062116_G05,pyramidal SS,S1PyrL23,1
417,1772063068_H12,pyramidal SS,(none),7
418,1772063070_B11,pyramidal SS,(none),1
419,1772071041_A05,pyramidal SS,S1PyrL23,7
420,1772060240_H05,pyramidal SS,S1PyrL23,7
421,1772063065_F04,pyramidal SS,(none),1
422,1772063065_G10,pyramidal SS,(none),1
423,1772067074_D10,pyramidal SS,S1PyrL23,7
424,1772071040_B12,pyramidal SS,S1PyrL23,7
425,1772063065_D12,pyramidal SS,(none),1
426,1772063065_B02,pyramidal SS,(none),1
427,1772067074_F10,pyramidal SS,S1PyrL23,7
428,1772060224_H02,pyramidal SS,(none),1
429,1772063068_E06,pyramidal SS,(none),1
430,1772071041_B01,pyramidal SS,(none),7
431,1772060226_F11,pyramidal SS,(none),24
432,1772067069_C08,pyramidal SS,S1PyrL23,17
433,1772063065_C08,pyramidal SS,(none),1
434,1772062116_A06,pyramidal SS,S1PyrL23,1
435,1772063061_A05,pyramidal SS,S1PyrL23,1
436,1772063068_F02,pyramidal SS,(none),1
437,1772060240_D06,pyramidal SS,S1PyrL23,1
438,1772063063_D11,pyramidal SS,S1PyrL23,7
439,1772062115_C11,pyramidal SS,S1PyrL23,7
440,1772071041_C10,pyramidal SS,S1PyrL23,7
441,1772060225_C12,pyramidal SS,(none),1
442,1772063068_G11,pyramidal SS,(none),1
443,1772067069_C05,pyramidal SS,S1PyrL23,7
444,1772063065_C09,pyramidal SS,(none),1
445,1772063065_E02,pyramidal SS,(none),1
446,1772063068_G10,pyramidal SS,(none),1
447,1772067073_B04,pyramidal SS,S1PyrL23,1
448,1772067074_D08,pyramidal SS,S1PyrL23,7
449,1772071040_H01,pyramidal SS,S1PyrL23,7
450,1772063062_F07,pyramidal SS,S1PyrL23,1
451,1772062113_E01,pyramidal SS,(none),1
452,1772063071_E07,pyramidal SS,(none),1
453,1772063065_D02,pyramidal SS,S1PyrL23,1
454,1772063071_C08,pyramidal SS,(none),1
455,1772063062_F05,pyramidal SS,(none),1
456,1772063068_A06,pyramidal SS,(none),1
457,1772066104_F10,pyramidal SS,(none),7
458,1772058177_G10,pyramidal SS,S1PyrL23,7
459,1772063068_H01,pyramidal SS,(none),1
460,1772067073_F10,pyramidal SS,S1PyrL23,7
461,1772063062_C04,pyramidal SS,S1PyrL23,7
462,1772062109_A11,pyramidal SS,S1PyrL5a,1
463,1772063068_C10,pyramidal SS,(none),1
464,1772063068_G04,pyramidal SS,(none),1
465,1772063065_A03,pyramidal SS,(none),1
466,1772062128_A09,pyramidal SS,(none),1
467,1772063071_F08,pyramidal SS,(none),1
468,1772067058_G11,pyramidal CA1,SubPyr,21
469,1772071015_D07,pyramidal SS,S1PyrL5,21
470,1772071015_D08,pyramidal SS,S1PyrL5,21
471,1772067054_G11,pyramidal CA1,CA1Pyr1,21
472,1772067064_A12,pyramidal SS,(none),21
473,1772067066_C03,pyramidal SS,(none),21
474,1772066095_D06,pyramidal CA1,SubPyr,21
475,1772062109_F09,pyramidal SS,(none),21
476,1772067082_D08,pyramidal CA1,CA1Pyr1,21
477,1772060224_C03,pyramidal SS,(none),1
478,1772071040_H03,pyramidal SS,S1PyrL6b,1
479,1772067059_E04,pyramidal CA1,SubPyr,21
480,1772067058_C12,pyramidal CA1,SubPyr,7
481,1772066073_C01,pyramidal CA1,SubPyr,21
482,1772067076_A05,pyramidal CA1,SubPyr,21
483,1772067059_A05,pyramidal CA1,SubPyr,21
484,1772067082_B12,pyramidal CA1,CA1Pyr1,21
485,1772066100_D12,pyramidal CA1,SubPyr,21
486,1772067076_C01,pyramidal CA1,SubPyr,21
487,1772067082_F05,pyramidal CA1,SubPyr,21
488,1772067082_C10,pyramidal CA1,SubPyr,21
489,1772067082_G07,pyramidal CA1,SubPyr,21
490,1772066098_B05,pyramidal CA1,SubPyr,21
491,1772066097_H07,pyramidal CA1,SubPyr,21
492,1772066102_F02,pyramidal CA1,SubPyr,21
493,1772063062_D03,pyramidal SS,S1PyrL6b,1
494,1772067064_A11,pyramidal SS,S1PyrL6,8
495,1772067073_E06,pyramidal SS,S1PyrL6,7
496,1772071040_F10,pyramidal SS,S1PyrL6,7
497,1772071040_D11,pyramidal SS,S1PyrL6,7
498,1772062116_B02,pyramidal SS,S1PyrL6,7
499,1772071041_D08,pyramidal SS,S1PyrL6,7
500,1772067064_G12,pyramidal SS,S1PyrL6,7
501,1772062109_E09,pyramidal SS,S1PyrL5,7
502,1772067074_A02,pyramidal SS,S1PyrL6,7
503,1772067074_C04,pyramidal SS,S1PyrL6,7
504,1772071040_F06,pyramidal SS,S1PyrL6,7
505,1772067074_G06,pyramidal SS,S1PyrL6,7
506,1772067063_B09,pyramidal SS,S1PyrL6,7
507,1772071041_F02,pyramidal SS,S1PyrL6,7
508,1772067073_B06,pyramidal SS,S1PyrL6,7
509,1772067073_G04,pyramidal SS,S1PyrL6,7
510,1772067070_B11,pyramidal SS,S1PyrL6,7
511,1772062111_H10,pyramidal SS,S1PyrL6,1
512,1772067063_A01,pyramidal SS,S1PyrL6,7
513,1772071040_A11,pyramidal SS,S1PyrL6,8
514,1772071041_E04,pyramidal SS,S1PyrL6,7
515,1772062118_B11,pyramidal SS,S1PyrL6,1
516,1772067070_G04,pyramidal SS,S1PyrL6,7
517,1772071040_E02,pyramidal SS,S1PyrL6,7
518,1772071041_D11,pyramidal SS,S1PyrL6,7
519,1772071040_B06,pyramidal SS,S1PyrL6,7
520,1772067070_H11,pyramidal SS,S1PyrL6,7
521,1772063071_C01,pyramidal SS,(none),1
522,1772062111_B01,pyramidal SS,(none),1
523,1772063068_C01,pyramidal SS,(none),1
524,1772060240_B10,pyramidal SS,(none),1
525,1772060240_B01,pyramidal SS,(none),1
526,1772066096_B04,pyramidal CA1,CA1Pyr2,2
527,1772060225_E01,pyramidal SS,S1PyrDL,1
528,1772063077_C12,pyramidal SS,S1PyrDL,1
529,1772063065_F01,pyramidal SS,(none),1
530,1772062115_D01,pyramidal SS,(none),1
531,1772062118_A01,pyramidal SS,S1PyrL6,1
532,1772063065_A01,pyramidal SS,(none),1
533,1772067070_D10,pyramidal SS,(none),7
534,1772071040_A01,pyramidal SS,(none),7
535,1772063068_B10,pyramidal SS,(none),1
536,1772067066_G02,pyramidal SS,S1PyrL5,7
537,1772063077_G04,pyramidal SS,S1PyrL6,1
538,1772063071_E01,pyramidal SS,(none),1
539,1772067070_D05,pyramidal SS,(none),7
540,1772062111_H11,pyramidal SS,(none),1
541,1772071041_B12,pyramidal SS,(none),7
542,1772063077_E05,pyramidal SS,(none),1
543,1772067073_F02,pyramidal SS,S1PyrL5,7
544,1772062111_A09,pyramidal SS,(none),1
545,1772063061_A10,pyramidal SS,S1PyrDL,1
546,1772062128_C12,pyramidal SS,S1PyrL6b,1
547,1772063061_A03,pyramidal SS,S1PyrDL,1
548,1772063074_E06,pyramidal SS,S1PyrDL,1
549,1772063064_H01,pyramidal SS,S1PyrDL,1
550,1772071014_C08,pyramidal SS,S1PyrL6b,21
551,1772067064_H05,pyramidal SS,S1PyrL6b,21
552,1772063068_A12,pyramidal SS,S1PyrDL,1
553,1772062109_H06,pyramidal SS,S1PyrDL,1
554,1772062109_D03,pyramidal SS,S1PyrDL,1
555,1772067065_G07,pyramidal SS,S1PyrL6b,21
556,1772062128_D01,pyramidal SS,S1PyrL6b,1
557,1772071014_H02,pyramidal SS,S1PyrL6b,21
558,1772063061_H04,pyramidal SS,S1PyrDL,1
559,1772062115_C09,pyramidal SS,S1PyrDL,1
560,1772063078_E02,pyramidal SS,S1PyrDL,1
561,1772063061_H12,pyramidal SS,S1PyrDL,1
562,1772063061_E05,pyramidal SS,S1PyrDL,1
563,1772058177_G03,pyramidal SS,S1PyrDL,1
564,1772063068_E07,pyramidal SS,S1PyrDL,1
565,1772063061_C11,pyramidal SS,S1PyrL5a,1
566,1772063061_D11,pyramidal SS,S1PyrDL,1
567,1772063061_E06,pyramidal SS,S1PyrDL,1
568,1772063071_A03,pyramidal SS,S1PyrDL,1
569,1772058171_C07,pyramidal SS,S1PyrL6,1
570,1772063061_G12,pyramidal SS,S1PyrDL,1
571,1772062128_H06,pyramidal SS,S1PyrDL,1
572,1772062115_C08,pyramidal SS,S1PyrDL,1
573,1772063061_C02,pyramidal SS,S1PyrDL,1
574,1772063061_C06,pyramidal SS,S1PyrDL,1
575,1772063061_H01,pyramidal SS,S1PyrDL,1
576,1772063061_B06,pyramidal SS,S1PyrL6b,1
577,1772063071_E12,pyramidal SS,S1PyrL6b,1
578,1772058177_C10,pyramidal SS,S1PyrDL,1
579,1772058177_H05,pyramidal SS,S1PyrL6,1
580,1772063061_F06,pyramidal SS,S1PyrDL,1
581,1772058177_H07,pyramidal SS,(none),1
582,1772058171_E01,pyramidal SS,S1PyrL6b,1
583,1772063061_A02,pyramidal SS,S1PyrDL,1
584,1772063061_B01,pyramidal SS,S1PyrDL,1
585,1772063068_F09,pyramidal SS,S1PyrL6b,1
